"Competition_Name","Gender","Country","Season_End_Year","Round","Wk","Day","Date","Time","Home","HomeGoals","Away","AwayGoals","Attendance","Venue","Referee","Notes","MatchURL","Home_xG","Away_xG"
"AFC Asian Cup","M",NA,2023,"Group stage","2","Fri",2024-01-19,"14:30","Iraq",2,"Japan",1,38663,"Education City Stadium (Neutral Site)","Khalid Saleh Al Turais","","https://fbref.com/en/matches/02a6c8dc/Iraq-Japan-January-19-2024-Asian-Cup",NA,NA
"AFC Asian Cup","M",NA,2023,"Group stage","2","Sat",2024-01-20,"14:30","Jordan",2,"Korea Republic",2,36627,"Al Thumama Stadium (Neutral Site)","Salman Ahmad Falahi","","https://fbref.com/en/matches/ccc3108d/Jordan-Korea-Republic-January-20-2024-Asian-Cup",NA,NA
"AFC Asian Cup","M",NA,2023,"Group stage","3","Tue",2024-01-23,"14:30","Australia",1,"Uzbekistan",1,15290,"Al Janoub Stadium (Neutral Site)","Yūsuke Araki","","https://fbref.com/en/matches/74a860a7/Australia-Uzbekistan-January-23-2024-Asian-Cup",NA,NA
"AFC Asian Cup","M",NA,2023,"Round of 16",NA,"Mon",2024-01-29,"14:30","Iraq",2,"Jordan",3,35814,"Khalifa International Stadium (Neutral Site)","Alireza Faghani","","https://fbref.com/en/matches/bf8bf153/Iraq-Jordan-January-29-2024-Asian-Cup",NA,NA
"AFC Asian Cup","M",NA,2023,"Round of 16",NA,"Tue",2024-01-30,"19:00","Saudi Arabia",1,"Korea Republic",1,42389,"Education City Stadium (Neutral Site)","Ilgiz Tantashev","Korea Republic won on penalty kicks following extra time","https://fbref.com/en/matches/12d616de/Saudi-Arabia-Korea-Republic-January-30-2024-Asian-Cup",NA,NA
"AFC Asian Cup","M",NA,2023,"Quarter-finals",NA,"Fri",2024-02-02,"18:30","Australia",1,"Korea Republic",2,39632,"Education City Stadium (Neutral Site)","Ahmed Abu Bakar Al Kaf","Required Extra Time","https://fbref.com/en/matches/6fdc7d22/Australia-Korea-Republic-February-2-2024-Asian-Cup",NA,NA
"AFC Asian Cup","M",NA,2023,"Quarter-finals",NA,"Sat",2024-02-03,"14:30","Iran",2,"Japan",1,35640,"Education City Stadium (Neutral Site)","Ma Ning","","https://fbref.com/en/matches/c0d73f9e/IR-Iran-Japan-February-3-2024-Asian-Cup",NA,NA
"AFC Asian Cup","M",NA,2023,"Quarter-finals",NA,"Sat",2024-02-03,"18:30","Qatar",1,"Uzbekistan",1,58791,"Al Bayt Stadium (Neutral Site)","Kim Heegon","Qatar won on penalty kicks following extra time","https://fbref.com/en/matches/b8d781b2/Qatar-Uzbekistan-February-3-2024-Asian-Cup",NA,NA
"AFC Asian Cup","M",NA,2023,"Semi-finals",NA,"Tue",2024-02-06,"18:00","Jordan",2,"Korea Republic",0,42850,"Ahmed bin Ali Stadium (Neutral Site)","Mohammed Abdulla Hassan","","https://fbref.com/en/matches/31bdfbdb/Jordan-Korea-Republic-February-6-2024-Asian-Cup",NA,NA
"AFC Asian Cup","M",NA,2023,"Semi-finals",NA,"Wed",2024-02-07,"18:00","Iran",2,"Qatar",3,40342,"Al Thumama Stadium (Neutral Site)","Ahmad Al Ali","","https://fbref.com/en/matches/ce5d1f62/IR-Iran-Qatar-February-7-2024-Asian-Cup",NA,NA
