"league","season","team","player","league_id","season_id","team_id","player_id","position_raw","matches","minutes","goals","xg","np_goals","np_xg","assists","xa","shots","key_passes","yellow_cards","red_cards","xgchain","xgbuildup","nation","position_group","npg","xg_plus_xa","npg_plus_xa","xg_per90","xa_per90","xgchain_per90","xgbuildup_per90","npg_per90","goals_per90","shots_per90","key_passes_per90","assists_per90","sb_minutes","sb_goals","sb_xg","sb_np_xg","sb_shots","sb_np_shots","sb_assists","sb_xa","sb_key_passes","sb_progressive_passes","sb_progressive_carries","sb_competitions","sb_nation"
"ENG-Premier League",2122,"Arsenal","Aaron Ramsdale",1,2021,83,5603,"GK",34,3060,0,0,0,0,0,0,0,0,1,0,3.99581002816558,3.99581002816558,"England","GK",NA,0,0,0,0,0.117523824357811,0.117523824357811,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENG-Premier League",2122,"Arsenal","Ainsley Maitland-Niles",1,2021,83,1750,"M S",8,251,0,0.0297200987115502,0,0.0297200987115502,0,0.227362401783466,2,3,0,0,0.636060699820518,0.389068707823753,"England","M S",NA,0.257082500495017,0.227362401783466,0.010656609099759,0.0815243671733544,0.228069573640823,0.139506707984613,NA,0,0.717131474103586,1.07569721115538,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENG-Premier League",2122,"Arsenal","Albert Sambi Lokonga",1,2021,83,9689,"M S",19,1125,0,0.585317600518465,0,0.585317600518465,0,0.835428504273295,20,18,5,0,5.44786232337356,4.69208566471934,"Belgium","M S",NA,1.42074610479176,0.835428504273295,0.0468254080414772,0.0668342803418636,0.435828985869884,0.375366853177547,NA,0,1.6,1.44,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENG-Premier League",2122,"Arsenal","Alexandre Lacazette",1,2021,83,3277,"F M S",30,1800,4,7.62577438913286,2,5.34227142296731,7,3.25501427426934,46,29,0,0,9.14989528432488,3.09757941588759,"France","F M S",NA,10.8807886634022,3.25501427426934,0.381288719456643,0.162750713713467,0.457494764216244,0.15487897079438,NA,0.2,2.3,1.45,0.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENG-Premier League",2122,"Arsenal","Bernd Leno",1,2021,83,181,"GK",4,360,0,0,0,0,0,0,0,0,0,0,0.189383395016193,0.189383395016193,"Germany","GK",NA,0,0,0,0,0.0473458487540483,0.0473458487540483,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENG-Premier League",2122,"Arsenal","Bukayo Saka",1,2021,83,7322,"F M S",38,3034,11,9.90590610355139,9,8.38356912136078,7,7.63138087652624,97,68,6,0,19.4498983006924,9.0585806472227,"England","F M S",NA,17.5372869800776,7.63138087652624,0.293846918035473,0.22637583351594,0.57695809065996,0.268712016562308,NA,0.326301911667765,2.87738958470666,2.01713909030982,0.207646671061305,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENG-Premier League",2122,"Arsenal","Calum Chambers",1,2021,83,508,"D M S",13,1001,1,0.265634100884199,1,0.265634100884199,0,0.176932100206614,5,3,1,0,2.58154048398137,2.40685068443418,"England","D M S",NA,0.442566201090813,0.176932100206614,0.0238831858936842,0.0159079810375576,0.232106537021302,0.216400161437638,NA,0.0899100899100899,0.44955044955045,0.26973026973027,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENG-Premier League",2122,"Arsenal","Cédric Soares",1,2021,83,847,"D S",21,1483,1,0.489683398976922,1,0.489683398976922,1,1.51934577245265,12,18,3,0,5.35009296238422,4.61929562874138,"Portugal","D S",NA,2.00902917142957,1.51934577245265,0.0297178057369676,0.0922057447880908,0.324685344986231,0.280334866208176,NA,0.0606877950101146,0.728253540121376,1.09238031018206,0.0606877950101146,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENG-Premier League",2122,"Arsenal","Eddie Nketiah",1,2021,83,6482,"F S",21,803,5,4.99368159100413,5,4.99368159100413,1,1.66520612314343,28,13,3,0,7.67735616862774,2.16000879369676,"England","F S",NA,6.65888771414757,1.66520612314343,0.559690340212169,0.186635804586437,0.860475784777704,0.242093140015826,NA,0.560398505603985,3.13823163138232,1.45703611457036,0.112079701120797,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENG-Premier League",2122,"Arsenal","Emile Smith-Rowe",1,2021,83,7230,"F M S",33,1928,10,5.36384779214859,10,5.36384779214859,2,3.03300522640347,40,30,1,0,10.8741141445935,4.78845438081771,"England","F M S",NA,8.39685301855206,3.03300522640347,0.250387085733077,0.141582194178585,0.507609062766293,0.223527434789209,NA,0.466804979253112,1.86721991701245,1.40041493775934,0.0933609958506224,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
